"﻿Session start","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Session end","Session source"
"2019-06-12 15:02",1,5,5,5,5,5,2,2,3,1,"2019-06-12 15:03",kiosk
"2019-06-12 15:25",2,4,4,4,4,4,2,3,1,1,"2019-06-12 15:26",kiosk
"2019-06-12 15:02",1,5,5,4,4,4,2,2,1,1,"2019-06-12 15:27",kiosk
"2019-06-12 15:32",1,5,5,5,5,4,2,3,,,"2019-06-12 15:35",kiosk
"2019-06-12 15:38",1,5,5,5,5,5,2,3,1,6,"2019-06-12 15:39",kiosk
"2019-06-12 20:32",1,4,4,4,3,2,1,2,2,6,"2019-06-12 20:33",kiosk
"2019-06-12 20:32",2,5,5,5,5,4,1,2,2,3,"2019-06-12 20:33",kiosk
"2019-06-12 20:33",1,5,5,4,3,5,1,2,2,6,"2019-06-12 20:34",kiosk
"2019-06-12 21:06",1,4,4,4,4,4,2,3,1,6,"2019-06-12 21:06",kiosk
"2019-06-13 14:11",3,1,,,,,,,,,"2019-06-13 14:14",kiosk
"2019-06-13 15:31",1,5,4,4,3,3,2,2,2,1,"2019-06-13 15:32",kiosk
"2019-06-14 10:56",,,,,,,,,,,"2019-06-14 10:58",kiosk
"2019-06-14 11:20",3,5,5,5,5,5,1,2,3,1,"2019-06-14 11:21",kiosk
"2019-06-16 22:49",1,4,4,4,5,4,2,3,4,5,"2019-06-16 22:49",kiosk
"2019-06-17 16:21",,,,,,,,,,,"2019-06-17 16:21",kiosk
"2019-06-17 16:21",,,,,,,,,,,"2019-06-17 16:23",kiosk
"2019-06-17 16:21",,,,,,,,,,,"2019-06-18 03:55",kiosk
"2019-06-19 08:15",1,4,4,4,4,3,2,1,2,3,"2019-06-19 08:15",kiosk
"2019-06-19 14:07",,,,,,,,,,,"2019-06-19 14:07",kiosk
"2019-06-16 22:49",1,4,4,4,5,4,2,3,4,5,"2019-06-19 16:04",kiosk
"2019-06-19 16:14",1,3,4,4,3,3,2,2,2,4,"2019-06-19 16:15",kiosk
"2019-06-19 19:38",1,5,5,4,4,5,1,1,1,2,"2019-06-19 19:39",kiosk
"2019-06-20 03:57",1,4,4,4,3,2,4,2,1,5,"2019-06-20 03:59",kiosk
"2019-06-20 12:44",3,,,,,,,,,,"2019-06-20 12:46",kiosk
"2019-06-21 10:49",1,4,4,4,3,3,1,3,3,1,"2019-06-21 10:50",kiosk
"2019-06-21 10:49",1,4,4,4,3,3,1,3,3,1,"2019-06-21 19:27",kiosk
"2019-06-21 19:47",1,5,4,4,3,3,1,2,3,6,"2019-06-21 19:50",kiosk
"2019-06-22 18:52",,,,,,,,,,,"2019-06-22 18:52",kiosk
"2019-06-22 18:52",,,,,,,,,,,"2019-06-22 18:54",kiosk
"2019-06-22 19:57",1,,,,,,,,,,"2019-06-22 19:59",kiosk
"2019-06-22 23:51",,,,,,,,,,,"2019-06-22 23:53",kiosk
