Session start,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Session end,Session source
2019-06-07 11:12,3,4,4,4,4,4,4,4,4,2019-06-07 11:12,kiosk
2019-06-07 11:27,2,1,3,1,1,2,3,1,4,2019-06-07 11:28,kiosk
2019-06-07 11:31,2,1,2,1,3,4,3,1,4,2019-06-07 11:32,kiosk
2019-06-07 12:27,3,1,2,1,1,3,2,1,4,2019-06-07 12:28,kiosk
2019-06-07 12:39,3,1,2,1,2,3,2,1,4,2019-06-07 12:41,kiosk
2019-06-07 12:44,3,2,3,3,1,2,2,4,4,2019-06-07 12:45,kiosk
2019-06-07 13:08,2,1,2,1,2,3,3,1,3,2019-06-07 13:10,kiosk
2019-06-07 13:36,3,2,3,2,4,2,2,3,4,2019-06-07 13:38,kiosk
2019-06-07 14:20,4,2,3,3,4,2,1,3,3,2019-06-07 14:22,kiosk
2019-06-07 14:46,1,2,3,3,4,3,2,1,3,2019-06-07 14:47,kiosk
2019-06-07 15:34,4,2,3,3,2,2,2,2,1,2019-06-07 15:35,kiosk
2019-06-07 19:31,3,2,2,2,1,4,3,2,3,2019-06-07 19:33,kiosk
2019-06-07 20:39,4,2,3,4,3,4,3,2,4,2019-06-07 20:41,kiosk
2019-06-07 20:51,4,3,3,4,3,4,1,3,3,2019-06-07 20:53,kiosk
2019-06-07 22:16,2,2,2,1,2,3,3,2,3,2019-06-07 22:18,kiosk
2019-06-07 23:04,4,3,3,3,2,2,2,3,2,2019-06-07 23:07,kiosk
2019-06-07 23:29,4,3,3,4,4,2,2,3,3,2019-06-07 23:31,kiosk
2019-06-07 23:29,4,2,4,3,2,1,2,4,2,2019-06-07 23:31,kiosk
2019-06-07 23:39,3,2,4,2,2,2,2,3,2,2019-06-07 23:40,kiosk
2019-06-08 01:40,2,1,2,1,1,3,3,1,4,2019-06-08 01:42,kiosk
2019-06-08 01:40,3,2,4,3,1,2,2,2,2,2019-06-08 01:42,kiosk
2019-06-08 01:45,,,,,,,,,,2019-06-08 01:47,kiosk
2019-06-08 01:46,3,2,3,4,4,3,3,3,4,2019-06-08 01:48,kiosk
2019-06-08 02:11,3,1,2,1,1,3,3,1,4,2019-06-08 02:13,kiosk
2019-06-08 03:05,3,2,4,3,4,2,3,2,3,2019-06-08 03:06,kiosk
2019-06-08 04:20,3,1,2,2,1,3,2,2,4,2019-06-08 04:22,kiosk
2019-06-08 05:31,3,2,3,3,3,1,2,2,3,2019-06-08 05:32,kiosk
2019-06-08 05:31,3,1,3,4,3,2,2,4,3,2019-06-08 05:33,kiosk
2019-06-08 08:38,4,4,3,3,1,3,3,4,2,2019-06-08 08:40,kiosk
2019-06-08 05:31,3,1,3,4,3,2,2,4,3,2019-06-08 08:40,kiosk
2019-06-08 09:36,2,1,2,1,1,3,2,1,3,2019-06-08 09:38,kiosk
2019-06-08 13:13,2,1,2,1,2,3,3,2,4,2019-06-08 13:14,kiosk
2019-06-08 13:34,2,1,3,1,1,3,4,1,4,2019-06-08 13:35,kiosk
2019-06-08 15:06,4,2,3,4,2,3,2,2,4,2019-06-08 15:07,kiosk
2019-06-08 15:33,4,3,4,4,3,2,2,3,2,2019-06-08 15:34,kiosk
2019-06-08 17:12,3,2,3,2,2,2,3,4,2,2019-06-08 17:13,kiosk
2019-06-08 18:54,,,,,,,,,,2019-06-08 18:56,kiosk
2019-06-08 18:54,,,,,,,,,,2019-06-08 18:57,kiosk
2019-06-08 23:17,4,2,3,4,2,3,2,2,4,2019-06-08 23:20,kiosk
2019-06-08 23:41,3,1,2,2,1,3,3,2,4,2019-06-08 23:43,kiosk
2019-06-09 05:44,3,1,3,2,1,3,2,3,2,2019-06-09 05:46,kiosk
